"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Наличие ЕМТС";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Центральный";"Музей";"Некрополь XVIII века - старое Лазаревское кладбище";"Санкт-Петербургское государственное учреждение ""Государственный музей городской скульптуры""";"Тимофеев Владимир Никлаевич";"191167, г.Санкт-Петербург, площадь Александра Невского, дом 1, литера Г,";"2742635";"";"7825440534";"1037843042632";"";"monument@gmgs.spb.ru";"http://www.gmgs.ru";"Филиал";"";"2742635";"191167, г.Санкт-Петербург, Невский проспект, дом 179/2, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Александра Невского";"";"";
"Адмиралтейский";"Музей";"Особняк Н.П. Румянцева";"Особняк Н.П. Румянцева. Санкт-Петербургское государственное учреждение культуры ""Государственный Музей истории Санкт-Петербурга"".";"Ивтодий Юрий Леонидович";"190000, г.Санкт-Петербург, Английская набережная, дом 44, литер А";"571–7544";"";"7813080598";"1037828028677";"";"M160@mail.museum.ru";"http://www.spbmuseum.ru/rumyantsev/";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Невский проспект";"";"муниципальное образование Адмиралтейский округ";
"Петроградский";"Музей";"Елагиноостровский дворец-музей";"Елагиноостровский дворец-музей декоративно-прикладного искусства и интерьера XVIII-XXI вв.";"Ершова Татьяна Анатольевна (Селезнев Павел Андреевич)";"197110, г.Санкт-Петербург, Елагин остров, дом 4, литер А";"430-11-30, 430-11-31, 430-30-90";"";"7813046452";"1037828006941";"";"elagin_palace@bk.ru";"http://www.elaginpark.spb.ru/path, http://www.museum.ru/M121";"Филиал";"";"430-11-30";"197110, г.Санкт-Петербург, Елагин остров, дом 4, литера Б";"";"Центральный парк культуры и отдыха им. С.М. Кирова";"Крестовский остров, Старая Деревня";"";"муниципальный округ №63";
"Петроградский";"Музей";"Музей истории фотографии";"Музей истории фотографии";"Шнеерсон Дмитрий Сергеевич";"197376, г.Санкт-Петербург, улица Профессора Попова, дом 23, литер В";"346-18-50, 346-18-51";"С13.00 до 17.00. Ежедневно кроме воскресенья и понедельника. В июле — августе";"";"";"";"info@photohismus.spb.ru";"www.photohismus.spb.ru";"";"";"";"";"";"";"";"Постоянная экспозиция музея закрыта на реконструкцию до сентября 2011 года";"муниципальный округ №61";
"Петродворцовый";"Музей";"Музей ""Готическая Капелла""";"Музей ""Готическая Капелла"". Парк Александрия";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петродворец, парк Александрия, дом 21, литер А";"450-99-01";"Открыт: 10.30- 18.00. Закрыт на зимний период";"7819012731";"1027808916442";"";"";"http://www.peterhof.ru/?m=16&p=20";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей-заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"город Петродворец";
"Петродворцовый";"Музей";"Музей коллекционеров";"Музей коллекционеров. Государственный музей заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петродворец, Правленская улица, дом 11, литер А";"427-77-86, 420-00-73";"Открыт: 10:30 - 18:00";"7819012731";"1027808916442";"";"";"http://www.peterhof.ru";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"город Петродворец";
"Московский";"Музей";"Музей боевой славы";"Музей боевой славы 2-й дивизии народного ополчения Московского района";"Исаев Борис Николаевич (Коржевская Е.А.)";"196135, г.Санкт-Петербург, улица Гастелло, дом 19, литер А";"373-55-04";"";"7814008072";"1037832009160";"";"spbchp@mail.admiral.ru";"http://www.admiral.ru/~spbchp";"Филиал";"";"371-58-95";"196135, г.Санкт-Петербург, улица Гастелло, дом 19, литер А";"";"Санкт-Петербургский экономико-технологический колледж питания";"Московская";"";"муниципальное образование Звездное";
"Московский";"Музей";"Музей маршала Советского Союза Г.К.Жукова";"Музей маршала Советского Союза Г.К.Жукова";"Пантелеенко Римма Александровна";"196233, г.Санкт-Петербург, Звездная улица, дом 15, корпус 2, литер А";"727-36-77";"";"7810260169";"1027804874899";"";"";"";"Филиал";"";"726-32-46";"г.Санкт-Петербург, Звездная улица, дом 15, корпус 2, литер А";"";"Профессиональный лицей технологии и дизайна";"Купчино, Звездная";"";"муниципальное образование Гагаринское";
"Центральный";"Музей";"Музей история политической полиции России";"Музей история политической полиции России в ХIХ - ХХ веках";"Михайлова Людмила Васильевна";"191186, г.Санкт-Петербург, Гороховая улица, дом 2/6, литер А";"312-27-42, 312-63-05";"с 10.00 до 18.00 часов, выходные - суббота и воскресенье";"7813045498";"1037828006897";"";"M195@mail.museum.ru";"http://www.museum.ru/M195";"Филиал";"";"";"Санкт-Петербург, Куйбышева ул, д. 2-4";"";"Музей политической истории России";"";"";"муниципальный округ №78";
"Василеостровский";"Музей";"Музей антропологии и этнографии (Кунсткамера)";"Учреждение Российской академии наук Музей антропологии и этнографии им. Петра Великого (Кунсткамера) РАН";"Чистов Юрий Кириллович";"199034, г.Санкт-Петербург, Университетская набережная, дом 3, литер Б";"328-07-12, 328-08-12, 328-14-12, 328-41-52";"С 11:00 до 18:00. Выходной день – понедельник. Санитарный день – последний вторник каждого месяца.";"7801023852";"1037800013206";"";"info@kunstkamera.ru";"http://www.kunstkamera.ru/, www.museum.ru/M145";"Основное, есть филиал";"";"";"199034, г.Санкт-Петербург, Университетская набережная, дом 3";"";"Российская Академия наук";"Василеостровская, Невский проспект, Адмиралтейская(строится)";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Зоологический музей";"Зоологический музей Зоологического института РАН";"Тихонов Алексей Николаевич";"199034, г.Санкт-Петербург, Университетская набережная, дом 1-3, литер А";"328-01-12";"Ежедневно с 11.00 до 18.00, кроме вторника и праздничных дней";"7801043337";"1027800535091";"";"admin@zin.ru,  museum@zin.ru";"www.zin.ru/museum/, http://www.museum.ru/M122";"Филиал";"";"328-02-21";"Санкт-Петербург, Университетская наб, д. 1";"";"Зоологический институт РАН";"Спортивная, Невский проспект";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Минералогический музей СПб ГУ";"Минералогический музей Санкт-Петербургского государственного университета";"Анастасенко Галина Федоровна";"199034, г.Санкт-Петербург, Университетская набережная, дом 7-9-11, литер А";"328-94-81";"С 11 до 17 час. кроме выходных и праздничных дней по предварительной договоренности.";"7801002274";"1037800006089";"";"galina@AA5709.spb.edu";"www.minerals.nw.ru/";"Филиал";"";"";"г.Санкт-Петербург, Университетская набережная, дом 7-9";"";"Санкт-Петербургский государственный университет";"Василеостровская, Невский проспект, Адмиралтейская - строится";"";"муниципальный округ №7";
"Центральный";"Музей";"Музей Арктики и Антарктики";"Российский государственный музей Арктики и Антарктики";"Боярский Виктор Ильич";"191040, г.Санкт-Петербург, улица Марата, дом 24а, литер А";"713-27-71, 311-25-49";"";"7825694761";"1037843036736";"50000";"vicaar@mail.wplus.net";"www.polarmuseum.sp.ru";"Основное и единственное";"";"";"";"";"";"Маяковская, Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
"Центральный";"Музей";"Литературно-мемориальный музей Ф.М. Достоевского";"Санкт-Петербургское государственное учреждение культуры ""Литературно-мемориальный музей Ф.М. Достоевского""";"Ашимбаева Наталья Туймебаевна";"191002, г.Санкт-Петербург, Кузнечный переулок, дом 5/2,";"5714031";"";"7825705438";"1027809232362";"";"ashimbaeva@md.spb.ru";"http://www.md.spb.ru/";"";"";"7120003";"191002, г.Санкт-Петербург, Кузнечный переулок, дом 5/2,";"ГИС СЦ";"Комитет по культуре";"Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
"Центральный";"Музей";"Музей восковых фигур";"ООО ""Восковые фигуры"". Группа компаний «Восковые фигуры». (Музей восковых фигур)";"Косолапов Борис Анатольевич";"193024, г.Санкт-Петербург, Невский проспект, дом 156, литер А (офис)";"363-12-84, 703-16-61, 703-16-65, 703-16-67, 717-42-36";"";"7804068770";"1027802521064";"";"wax_figures@mail.ru";"http://www.waxfigures.ru/";"Основное, есть филиал";"";"";"Санкт-Петербург, Невский пр-кт, д. 156, пом. 1";"";"Частный музей";"Площадь Александра Невского, Площадь Восстания";"";"муниципальное образование Смольнинское";
"Центральный";"Музей";"Музей истории профессионального образования";"Государственное учреждение ""Санкт-Петербургский музей истории профессионального образования""";"Лапина Ирина Валерьевна";"191126, г.Санкт-Петербург, улица Марата, дом 64, литер А";"314-19-66, 315-03-72";"";"7825060042";"1037843058923";"";"";"";"";"";"315-03-72";"191126, г.Санкт-Петербург, улица Марата, дом 64";"";"";"Лиговский Проспект, Звенигородская";"";"муниципальное образование Владимирский округ";
"Василеостровский";"Музей";"Горный музей";"Горный музей Санкт-Петербургского государственного Горного института им. Г.В. Плеханова";"Полярная Жанна Александровна";"199026, г.Санкт-Петербург, 21-я линия В.О., дом 2-4/45, литер Д";"327-73-60, 328-84-29";"";"7801021076";"1027800507591";"";"museum@spmi.ru";"http://www.spmi.ru/skeleton/1/64";"Филиал";"";"";"199026, г.Санкт-Петербург, 21-я линия В.О., дом 2-4/45";"";"Санкт-Петербургский государственный Горный институт им. Г.В.Плеханова";"Василеостровская";"";"муниципальный округ №7";
"Петроградский";"Музей";"Санкт-Петербургский музей игрушки";"Негосударственное учреждение культуры ""Санкт-Петербургский музей игрушки""";"Марченко Мария Александровна";"197022, г.Санкт-Петербург, набережная реки Карповки, дом 32, литер А";"234-43-12";"С 11:00 до 18:00. Выходной - понедельник. Санитарный день - последний вторник месяца";"7825681040";"1037869015568";"";"";"http://www.musaget.ru/museums/object/869/index.html";"";"";"275-7986";"Санкт-Петербург, Советская 3-я ул, д. 18/6";"";"Частный музей";"";"";"муниципальный округ №63";
"Адмиралтейский";"Музей";"Музей русской водки";"Общество с ограниченной ответственностью ""Музей Русской Водки""";"Киселева Ольга Борисовна";"190000, г.Санкт-Петербург, Конногвардейский бульвар, дом 4, литер А";"570-64-22";"пн-вс 11.00-22.00";"7814367000";"1077847067000";"";"reservation@vodkamuseum.ru";"www.vodkamuseum.ru";"";"";"";"Санкт-Петербург, Конногвардейский б-р, д. 4, лит.А, пом. 55Н";"";"Частный музей";"Садовая";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Музей";"Музей связи им. А.С.Попова";"Центральный музей связи им. А.С.Попова";"Бакаютова Людмила Николаевна";"190000, г.Санкт-Петербург, Почтамтская улица, дом 7, литер А";"315-48-73, 571-00-60";"";"7812033274";"1027810276845";"";"";"";"";"";"315-48-73";"";"";"";"";"";"муниципальное образование Адмиралтейский округ";
"Василеостровский";"Музей";"Музей Петербургского метрополитена";"Музей Петербургского метрополитена";"";"199057, г.Санкт-Петербург, улица Одоевского, дом 34, литер Б";"301-98-99 доб. 5354";"Ежедневно с 10:00 до 16:00, кроме выходных и праздничных дней";"7830000970";"1027810223407";"";"";"www.metro.spb.ru/97.html";"Филиал";"";"";"Санкт-Петербург, Московский пр-кт, д. 28";"";"ГУП ""Петербургский метрополитен """;"Приморская";"";"муниципальный округ Остров Декабристов";
"Василеостровский";"Музей";"Мемориальный комплекс подводной лодки Д-2";"Мемориальный комплекс подводной лодки Д-2 (""Народоволец""), филиал военно-морского музея";"Лялин Андрей Яковлевич";"199151, г.Санкт-Петербург, Шкиперский проток, дом 12, литер Н";"356-52-66, 356-52-77";"Ежедневно с 11.00 до 18.00, кроме понедельника, вторника и последнего четверга каждого месяца. Только экскурсионное обслуживание";"7801018179";"1037800001777";"";"";"";"Филиал";"";"";"Санкт-Петербург, Биржевая пл, д. 4";"";"Центральный военно-морской музей МО РФ";"Приморская";"";"муниципальный округ №9";
"Василеостровский";"Музей";"Музей истории ГПО. Завод им. М.И.Калинина";"Музей истории ГПО. Завод им. М.И.Калинина";"";"г.Санкт-Петербург, Уральская улица, дом 1";"350-89-06";"";"7801017746";"1027800511310";"";"";"";"Филиал";"";"";"";"";"ФГУП Завод имени М.И.Калинина";"Василеостровская";"";"муниципальный округ Остров Декабристов";
"Петроградский";"Музей";"Музей сновидений Зигмунда Фрейда";"Музей сновидений Зигмунда Фрейда при ВЕИП";"Синцова Екатерина Вячеславовна";"197198, г.Санкт-Петербург, Большой проспект П.С., дом 18, литер А";"456-22-90, 235-28-57, 235-29-29";"Вторник, Воскресенье с 12.00 - 17.00";"7812008239";"1037828008690";"";"vera@freud.ru";"www.freud.ru";"Филиал";"";"";"197198, г.Санкт-Петербург, Большой проспект П.С., дом 18, литер А";"";"Восточно-Европейский Институт психоанализа";"Спортивная";"";"муниципальный округ №62";
"Василеостровский";"Музей";"Геологоразведочный музей им. Ф.Н.Чернышева";"Центральный научно-исследовательский геологоразведочный музей им. академика Ф.Н.Чернышева";"Соколов Алексей Рюрикович";"199026, г.Санкт-Петербург, Средний проспект В.О., дом 74, литер А";"321-53-99, 328-9248, 321-53-99, 328-91-37";"Ежедневно с 10.00 до 17.00, кроме субботы, воскресенья и последней пятницы каждого месяца";"7801032920";"1027800511397";"";"cnigr@mail.rcom.ru";"www.museum.ru/m151, www.vsegei.ru/cnigr";"Филиал";"";"321-53-99";"";"";"Всероссийский научно-исследовательский геологический институт имени А.П.Карпинского.";"Василеостровская";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Литературный музей";"Литературный музей Института Русской литературы (Пушкинский дом) РАН";"Скатов Николай Николаевич (Багно Всеволод Евгеньевич)";"199034, г.Санкт-Петербург, набережная Макарова, дом 4, литер Б";"328-05-02";"Ежедневно с 11.00 до 17.00, кроме субботы и воскресенья Внимание: только экскурсионное обслуживание по предварительной договоренности";"7801030401";"1037800004549";"";"M188@mail.museum.ru";"www.museum.ru/M188";"Филиал";"";"328-11-40";"Санкт-Петербург, Макарова наб, д. 4";"";"Институт русской литературы (Пушкинский дом) РАН";"Василеостровская, Спортивная";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Музей-квартира А.И.Куинджи";"Музей-квартира А.И.Куинджи, филиал Научно-исследовательского музея Российской академии художеств";"Прасолова Елена Ивановна";"199053, г.Санкт-Петербург, Биржевой переулок, дом 1/10, литер А";"323-31-33";"среда, пятница, суббота с 12.00 до 17.00";"7801047324";"1037800002547";"";"";"http://98gorod.ru/muzey-kvartira_a.i.kuindzhi";"Филиал";"";"";"199034, г.Санкт-Петербург, Университетская набережная, дом 17, литер Ц";"";"Научно-исследовательский музей Российской Академии художеств";"";"";"муниципальный округ №7";
"Петроградский";"Музей";"Частный музей грамофонов и фонографов";"Учреждение культуры ""Частный музей грамофонов и фонографов В.И.Дерябкина""";"Дерябкин Владимир Игнатьевич";"197101, г.Санкт-Петербург, Большая Пушкарская улица, дом 47, литер А, кв. 35 (вход со стороны Каменноостровского пр., д. 32)";"346-09-51, +7(905)219-5699";"Ежедневно с 10.00 до 18.00, кроме субботы и воскресенья. Внимание:только по предварительной договоренности";"7813097190";"1037828052602";"";"";"www.museum.ru/M2103, http://peterbest.ru/content/view/79/86";"";"";"346-09-51";"Санкт-Петербург, Пушкарская Б. ул, д. 45, пом. 35";"";"Частный";"Петроградская";"Открылся 14 апреля 1998";"муниципальный округ №59";
"Василеостровский";"Музей";"Музей истории Военно-морского института";"Музей истории Военно-морского института (ВВМУ им. М.В.Фрунзе - Морской Корпус)";"Харченко О. В.";"г.Санкт-Петербург, 11-я линия В.О., дом 2";"323-94-60, 323-94-32";"Ежедневно с 11.00 до 17.00, кроме выходных и праздничных дней. Только по предварительной договоренности";"7801195410";"1037800021907";"";"info@cosmos.spb.ru";"www.museum.ru/M1982";"";"";"";"199162, Лейтенанта Шмидта наб д.17";"";"Военно-морской институт";"";"";"";
"Центральный";"Музей";"Музей истории войск";"Музей истории войск ордена Ленина Ленинградского военного округа";"Тарасов Михаил Яковлевич";"191028, г.Санкт-Петербург, Литейный проспект, дом 20, литер А";"278-86-67";"Ежедневно с 10.00 до 18.00, кроме субботы и воскресенья. Суббота и воскресенье - по предварительной договоренности";"7825011623";"1037843115881";"";"M220@mail.museum.ru";"http://www.museum.ru/M220";"Филиал";"";"";"Санкт-Петербург, Литейный пр-кт, д. 20";"";"Дом офицеров Ленинградского военного округа";"Чернышевская";"";"муниципальное образование Литейный округ";
"Центральный";"Музей";"Музей становления демократии в современной России им. А.Собчака";"Музей становления демократии в современной России им. А.Собчака";"Нарусова Людмила Борисовна";"191025, г.Санкт-Петербург, Невский проспект, дом 41, литер А";"571-17-06";"";"7825134978";"1037858015392";"";"fondation@shobchak.org";"";"Филиал";"";"571-17-06";"Санкт-Петербург, Невский пр-кт, д. 41";"";"Санкт-Петербургский общественный фонд Анатолия Собчака";"Невский проспект, Гостинный двор, Маяковская, Площадь Восстания";"";"муниципальное образование Владимирский округ";
"Центральный";"Музей";"Российский этнографический музей";"Федеральное государственное учреждение культуры ""Российский этнографический музей""";"Грусман Владимир Моисеевич";"191011, г.Санкт-Петербург, Инженерная улица, дом 4/1, литер Е";"313-47-68";"";"7825005700";"1037843105277";"";"rme@peterlink.ru, ethnomus@sor";"www.ethnomuseum.ru";"Основное и единственное";"";"";"191011, г.Санкт-Петербург, Инженерная улица, дом 4/1, литер Е";"";"";"Гостинный двор, Невский проспект";"";"муниципальное образование Дворцовый округ";
"Калининский";"Музей";"Музей истории ОАО ""Красный Октябрь""";"Музей истории ОАО ""Красный Октябрь""";"";"194100, г.Санкт-Петербург, Политехническая улица, дом 13-15, литер А";"247-96-36";"";"7830002462";"1027802505378";"";"";"";"Филиал";"";"";"Санкт-Петербург, Политехническая ул, д. 13-15";"";"ОАО ""Красный Октябрь""";"Площадь мужества";"";"муниципальное образование Гражданка";
"Центральный";"Музей";"Музей-квартира актерской династии Самойловых";"Музей-квартира актерской династии Самойловых. Санкт-Петербургский государственный музей театрального и музыкального искусства";"Зилотина Елена Алексеевна (Метелица Наталья Ивановна)";"191025, г.Санкт-Петербург, Невский проспект, дом 57, литер А, (ул. Стремянная, дом 8)";"380-20-01, 764-11-30";"С 12,00 до 18.00. Выходные - понедельник, вторник";"7825446889";"1047839007589";"";"mussam@mail.ru";"www.allmuseums.spb.ru";"Филиал";"";"";"г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"";"Санкт-Петербургский государственный музей театрального и музыкального искусства";"Маяковская";"";"муниципальное образование Владимирский округ";
"Центральный";"Музей";"Музей шляпного мастера, Milliner";"Музей шляпного мастера, Milliner";"";"193036, г.Санкт-Петербург, Лиговский проспект, дом 27/7, литер А";"579-32-68";"";"";"";"";"mansafs@mail.ru";"";"";"";"579-32-68";"";"";"";"Площадь Восстания";"";"муниципальное образование Смольнинское";
"Центральный";"Музей";"Мраморный дворец";"Мраморный дворец, филиал Государственного Русского музея";"Любимцев Сергей Владимирович (Гусев Владимир Александрович)";"191186, г.Санкт-Петербург, Миллионная улица, дом 5а, литер А";"312-91-96";"С 10.00 до 18.00, в понедельник с 10.00 до 17.00";"7830002230";"1037843029883";"";"M157@mail.museum.ru, info@rusm";"http://www.rusmuseum.ru";"Филиал";"";"";"Санкт-Петербург, Инженерная ул, д. 4";"";"Государственный Русский музей";"Невский Проспект, ""Гостиный двор""";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей истории прядильно-ниточного комбината им. С.М. Кирова";"Музей истории прядильно-ниточного комбината им. С.М. Кирова";"";"г.Санкт-Петербург, улица Красного Текстильщика, дом 17, литер А";"271-88-18";"";"7825666563";"1027809204499";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, улица Красного Текстильщика, дом 17, литер А";"";"Прядильно-ниточный комбинат им. С.М. Кирова";"Пл. Александра Невского, Площадь Восстания";"";"муниципальное образование Смольнинское";
"Центральный";"Музей";"Музей-квартира И.И.Бродского";"Музей-квартира И.И.Бродского, филиал Научно-исследовательского музея Российской академии художеств";"Балакина Наталья Михайловна";"191011, г.Санкт-Петербург, площадь Искусств, дом 3, литер А";"312-58-24, 314-36-58";"";"7801047324";"1037800002547";"";"";"";"Филиал";"";"312-58-24";"199034, г.Санкт-Петербург, Университетская набережная, дом 17, литер Ц";"";"Научно-исследовательский музей Российской Академии художеств";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей юных участников обороны Ленинграда";"Музей юных участников обороны Ленинграда";"Максимчик Татьяна Геннадьевна";"г.Санкт-Петербург, Невский проспект, дом 14, литер А";"312-85-18";"";"7825425342";"1037843005441";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Невский проспект, дом 14, литер А";"";"Средняя общеобразовательная школа № 210";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Адмиралтейский";"Музей";"Музей-усадьба Г.Р.Державина.";"Музей-усадьба Г.Р.Державина., филиал Всероссийсого музея А.С.Пушкина";"Морозова Нина Петровна";"198005, г.Санкт-Петербург, набережная реки Фонтанки, дом 118, литер Ю";"259-99-85, 713-07-17, 740-19-21, 740-19-22";"";"7825046513";"1027809250699";"";"vmp@mail.admiral.ru";"www.museumpushkin.ru/info/dergavininfo.php";"Филиал";"";"";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"";"Всероссийский музей А.С.Пушкина";"";"";"муниципальное образование Измайловское";
"Адмиралтейский";"Музей";"Музей Державина и русской словесности";"Музей Державина и русской словесности. Всероссийский музей А.С. Пушкина";"Некрасов Сергей Михайлович";"190000, г.Санкт-Петербург, набережная реки Фонтанки, дом 118, литер А";"713-07-17";"10.00 – 18.00, кроме вторника и последней пятницы месяца.";"7825046513";"1027809250699";"";"vmp@museumpushkin.ru";"www.museum.ru/M3078, www.museumpushkin.ru";"Филиал";"";"";"Санкт-Петербург, Реки Мойки наб, д. 12";"";"Всероссийский музей А.С. Пушкина";"Технологический институт";"";"муниципальное образование Измайловское";
"Адмиралтейский";"Музей";"Музей железнодорожной техники им. В.В.Чубарова";"Музей железнодорожной техники им. В.В.Чубарова на Варшавском вокзале";"";"190000, г.Санкт-Петербург, набережная Обводного канала, дом 118, корпус 7";"768-20-63";"Среда - воскресенье с 10:00 до 17:00. Понедельник, вторник - выходной.";"7826661166";"1027810320306";"";"";"http://www.allmuseums.spb.ru/mus_oktrailroad/exposition.shtml";"Филиал";"";"768-21-37";"Санкт-Петербург, Садовая ул, д. 50";"";"Центральный музей железнодорожного транспорта Российской Федерации";"Балтийская, Фрунзенская";"";"муниципальное образование Измайловское";
"Адмиралтейский";"Музей";"Музей истории пивоварения (Музей пива)";"Музей истории пивоварения. Клуб коллекционеров пивной атрибутики ""Пивной Этикет"".";"Бондаренко Петр Юльевич";"198035, г.Санкт-Петербург, улица Степана Разина, дом 9, литер А";"251-03-89, 251-45-19, 51-0825";"Понедельник-пятница с 11:00 до 17:00. Только экскурсионное обслуживание";"7826048337";"1037858026722";"";"";"http://drugoypiter.ru/place/musey_piva.htm";"";"";"";"Санкт-Петербург, Степана Разина ул, д. 9";"";"Частный";"Балтийская, Технологический институт - I";"";"муниципальный округ Екатерингофский";
"Адмиралтейский";"Музей";"Центральный музей Октябрьской железной дороги";"Центральный музей Октябрьской железной дороги";"Погодин Сергей Леонидович (Закревская Галина Петровна)";"198005, г.Санкт-Петербург, набережная Обводного канала, дом 114, литер А";"768-21-37, 436-34-48, 457-20-87, 457-21-37";"Понедельник - пятница с 11:00 до 17:00. Суббота, воскресенье - выходной";"7826661166";"1027810320306";"";"";"www.museum.ru/M172";"Филиал";"";"768-21-37, 457-21-37";"Санкт-Петербург, Садовая ул, д. 50, офис";"";"Центральный музей железнодорожного транспорта Российской Федерации";"Балтийская, Фрунзенская";"";"муниципальное образование Измайловское";
"Адмиралтейский";"Музей";"Метрологический музей";"Метрологический музей ГОССТАНДАРТА России при ВНИИМ им. Д.И. Менделеева";"";"198005, г.Санкт-Петербург, Московский проспект, дом 19, литер Д";"323-96-76";"Пн-пт с 10.00 до 17.00. По предварительным заявкам.";"7809022120";"1027810219007";"";"hal@onti.vniim.spb.su";"http://museum.vniim.ru/";"Филиал";"";"";"Санкт-Петербург, Московский пр-кт, д. 19";"";"Всероссийский научно-исследовательский институт метрологии им.Д.И.Менделеева";"Технологический институт";"";"муниципальное образование Измайловское";
"Адмиралтейский";"Музей";"Музей ""Разночинный Петербург""";"Санкт-Петербургское государственное учреждение культуры ""Мемориальный музей ""Разночинный Петербург"", (Музей Истории революционно-демократического движения 1880-1890 гг.)";"Федоренко Тамара Григорьевна";"191180, г.Санкт-Петербург, Большой Казачий переулок, дом 9, литер А";"713-52-20, 572-19-32, 764-97-72";"";"7826106980";"1027810338489";"";"mirdd1880@rambler.ru";"http://www.museum.ru/M175";"";"";"";"";"";"";"";"";"муниципальный округ Семеновский";
"Фрунзенский";"Музей";"Некрополь ""Литераторские мостки""";"Санкт-Петербургское государственное учреждение ""Государственный музей городской скульптуры"", некрополь ""Литераторские мостки""";"Тимофеев Владимир Николаевич";"192007, г.Санкт-Петербург, Расстанная улица, дом 30, литер А";"766-23-83";"";"7825440534";"1037843042632";"";"";"";"Филиал";"";"";"193167, г.Санкт-Петербург, Невский проспект, дом 179, литер Б";"";"";"";"";"муниципальный округ Волковское";
"Центральный";"Музей";"Музей Анны Ахматовой в Фонтанном доме";"Санкт-Петербургское государственное учреждение культуры ""Государственный литературно-мемориальный музей Анны Ахматовой в Фонтанном доме""";"Попова Н.И.";"191040, г.Санкт-Петербург, Коломенская улица, дом 1/15, помещение №4";"272-18-11";"";"7825704794";"1027809210274";"";"museum@anna-museum.spb.su";"";"Филиал";"";"272-20-34";"191014, г.Санкт-Петербург, набережная реки Фонтанки, дом 34, литера А,Ж,К,";"ГИС СЦ";"Комитет по культуре";"Маяковская, Владимирская, Достоевская";"";"муниципальное образование Владимирский округ";
"Курортный";"Музей";"Музей ""Шалаш-сарай В.И. Ленина""";"Санкт-Петербургское Государственное Учреждение Культуры ""Историко-культурный музейный комплекс в Разливе"". Музей ""Шалаш-сарай В.И. Ленина""";"Коваленко Наталья Степановна";"Санкт-Петербург, город Сестрорецк, улица Емельянова, дом 3, литер Б";"434-61-45, 437-30-98";"Ежедневно с 11:00 до 19:00.";"7843301928";"1057811776417";"";"Shalash1928@rambler.ru";"http://www.razlivmuseum.spb.ru/";"Филиал";"";"";"Санкт-Петербург, Разлив ст, Емельянова ул, д. 3";"";"Историко-культурный музейный комплекс в Разливе";"";"";"город Сестрорецк";
"Адмиралтейский";"Музей";"Музей истории религии";"Федеральное государственное учреждение культуры Государственный музей истории религии";"Кучинский Станислав Алексеевич";"190000, г.Санкт-Петербург, Почтамтская улица, дом 14, литер А";"312-35-86, 314-58-38, 571-04-95, 571-45-49";"с 11 00 - до 18 00. Выходной день:среда";"7808006920";"1037843090944";"";"gmir@mail.wplus.net";"www.relig-museum.ru";"Филиал";"";"";"190000, г.Санкт-Петербург, Почтамтская улица, дом 14, литер А";"";"";"Невский проспект, Гостиный двор, Садовая, Сенная площадь";"";"муниципальное образование Адмиралтейский округ";
"Петроградский";"Музей";"Музей-квартира Елизаровых";"Санкт-Петербургское государственное учреждение культуры ""Историко-мемориальный музей ""Смольный"", музей-квартира Елизаровых";"";"197137, г.Санкт-Петербург, улица Ленина, дом 52, литер А";"235-37-78";"";"7825453621";"1047844026933";"";"";"";"Филиал";"";"235-37-78";"г.Санкт-Петербург, улица Пролетарской Диктатуры, дом 3";"";"";"";"";"муниципальный округ №63";
